Local,População no último censo,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Pedregulho, 15700,,15700,15857.0,16015.57,16175.15,16336.75,16499.36,16663.99,16829.63,16997.29,17166.97,17337.66
Pedreira, 41558,,41558,41973.58,42392.73,42815.92,43243.15,43675.43,44111.75,44552.11,44997.52,45446.97,45900.46
Pedrinhas Paulista, 2940,,2940,2969.4,2998.69,3027.98,3057.27,3087.57,3117.87,3148.17,3179.48,3210.79,3242.1
Pedro de Toledo, 10204,,10204,10306.04,10409.06,10513.09,10618.13,10724.18,10831.24,10939.31,11048.39,11158.48,11269.58
Penápolis, 58510,,58510,59095.1,59685.95,60281.85,60883.81,61491.83,62105.91,62726.05,63353.26,63986.53,64625.86
Pereira Barreto, 24962,,24962,25211.62,25463.11,25717.63,25974.17,26233.74,26495.33,26759.95,27026.59,27296.26,27568.96
Pereiras, 7454,,7454,7528.54,7603.28,7679.03,7755.79,7832.55,7910.32,7989.1,8068.89,8148.68,8229.48
Peruíbe, 59773,,59773,60370.73,60973.7,61582.73,62197.82,62818.97,63446.18,64080.46,64720.8,65367.2,66020.67
Piacatu, 5287,,5287,5339.87,5392.39,5445.92,5499.45,5553.99,5608.53,5664.08,5720.64,5777.2,5834.77
Piedade, 52143,,52143,52664.43,53190.64,53721.9,54258.21,54800.58,55348.0,55901.48,56460.01,57024.6,57594.24
Pilar do Sul, 26406,,26406,26670.06,26936.7,27205.36,27477.05,27751.77,28028.51,28308.28,28591.08,28876.91,29164.76
Pindamonhangaba, 146995,,146995,148464.95,149948.64,151447.48,152961.47,154490.61,156034.9,157594.34,159169.94,160760.69,162367.6
Pindorama, 15039,,15039,15189.39,15340.89,15493.4,15647.93,15803.47,15961.03,16120.61,16281.2,16443.81,16607.43
Pinhalzinho, 13105,,13105,13236.05,13368.36,13501.68,13636.01,13772.36,13909.72,14048.09,14188.48,14329.88,14472.29
Piquete, 14107,,14107,14248.07,14390.48,14533.9,14678.33,14824.78,14972.24,15121.72,15272.21,15424.72,15578.24
Piracaia, 25116,,25116,25367.16,25620.67,25876.2,26134.76,26395.34,26658.95,26924.58,27193.24,27464.93,27738.64
Piracicaba, 364571,,364571,368216.71,371898.16,375616.98,379372.16,383165.72,386996.65,390865.96,394773.65,398720.73,402707.2
Piraju, 28475,,28475,28759.75,29046.59,29336.46,29629.36,29925.29,30224.25,30526.24,30831.26,31139.31,31450.39
Pirajuí, 22704,,22704,22931.04,23160.31,23391.6,23624.91,23860.24,24098.6,24338.98,24581.38,24826.81,25074.26
Pirangi, 10623,,10623,10729.23,10836.29,10944.36,11053.44,11163.53,11274.63,11386.74,11499.86,11613.99,11729.13
Pirapora do Bom Jesus, 15733,,15733,15890.33,16048.9,16208.48,16370.08,16533.7,16698.33,16864.98,17032.64,17202.32,17374.02
Pirassununga, 70081,,70081,70781.81,71488.81,72202.88,72924.02,73653.24,74389.53,75132.89,75883.32,76641.83,77407.41
Piratininga, 12072,,12072,12192.72,12313.92,12436.13,12560.36,12685.6,12811.85,12939.11,13068.39,13198.68,13329.98
Pitangueiras, 35307,,35307,35660.07,36016.6,36376.16,36739.76,37106.39,37477.06,37851.77,38229.51,38611.29,38997.11
Planalto, 4463,,4463,4507.63,4552.07,4597.52,4642.97,4688.42,4734.88,4781.34,4828.81,4876.28,4924.76
Platina, 3192,,3192,3223.92,3255.23,3287.55,3319.87,3352.19,3385.52,3418.85,3452.18,3486.52,3520.86
Poá, 106013,,106013,107073.13,108143.73,109224.43,110316.24,111419.16,112533.19,113658.33,114794.58,115941.94,117100.41
Poloni, 5395,,5395,5448.95,5502.48,5557.02,5612.57,5668.12,5724.68,5781.24,5838.81,5896.38,5954.96
Pompéia, 19964,,19964,20163.64,20364.63,20567.64,20772.67,20979.72,21188.79,21399.88,21612.99,21828.12,22046.28
Pongaí, 3481,,3481,3515.81,3550.15,3585.5,3620.85,3656.2,3692.56,3728.92,3765.28,3802.65,3840.02
Pontal, 40244,,40244,40646.44,41052.46,41462.52,41876.62,42294.76,42716.94,43143.16,43574.43,44009.74,44449.09
Pontalinda, 4074,,4074,4114.74,4155.14,4196.55,4237.96,4279.37,4321.79,4364.21,4407.64,4451.07,4495.51
Pontes Gestal, 2518,,2518,2543.18,2568.43,2593.68,2618.93,2644.18,2670.44,2696.7,2722.96,2749.22,2776.49
Populina, 4223,,4223,4265.23,4307.65,4350.07,4393.5,4436.93,4480.36,4524.8,4569.24,4614.69,4660.14
Porangaba, 8326,,8326,8409.26,8493.09,8577.93,8662.77,8748.62,8835.48,8923.35,9012.23,9102.12,9193.02
Porto Feliz, 48893,,48893,49381.93,49874.81,50372.74,50875.72,51383.75,51896.83,52414.96,52938.14,53467.38,54001.67
Porto Ferreira, 51400,,51400,51914.0,52433.14,52957.33,53486.57,54020.86,54560.2,55105.6,55656.05,56212.56,56774.12
Potim, 19397,,19397,19590.97,19785.9,19982.85,20181.82,20382.81,20585.82,20790.85,20997.9,21206.97,21418.06
Potirendaba, 15449,,15449,15603.49,15759.03,15916.59,16075.16,16235.75,16397.35,16560.97,16725.6,16892.25,17060.92
Pracinha, 2858,,2858,2886.58,2914.86,2943.14,2972.43,3001.72,3031.01,3061.31,3091.61,3121.91,3152.21
Pradópolis, 17377,,17377,17550.77,17725.5,17902.25,18081.02,18261.81,18443.61,18627.43,18813.27,19001.13,19191.01
Praia Grande, 262051,,262051,264671.51,267317.71,269990.17,272689.9,275415.89,278169.15,280950.69,283759.5,286596.59,289461.96
Pratânia, 4599,,4599,4644.99,4690.44,4736.9,4783.36,4830.83,4878.3,4926.78,4975.26,5024.75,5074.24
Presidente Alves, 4123,,4123,4164.23,4205.64,4247.05,4289.47,4331.89,4374.31,4417.74,4461.17,4505.61,4550.05
Promissão, 35674,,35674,36030.74,36390.3,36753.9,37120.53,37491.2,37865.91,38243.65,38625.43,39011.25,39401.11
Quadra, 3236,,3236,3268.36,3300.68,3333.0,3366.33,3399.66,3432.99,3466.32,3500.66,3535.0,3570.35
Quatá, 12799,,12799,12926.99,13055.26,13185.55,13316.85,13449.16,13583.49,13718.83,13855.18,13993.55,14132.93
Queiroz, 2808,,2808,2836.08,2864.36,2892.64,2920.92,2949.2,2978.49,3007.78,3037.07,3067.37,3097.67
Queluz, 11309,,11309,11422.09,11536.22,11651.36,11767.51,11884.67,12002.84,12122.02,12243.22,12365.43,12488.65
Quintana, 6004,,6004,6064.04,6124.64,6185.24,6246.85,6308.46,6371.08,6434.71,6498.34,6562.98,6627.62
Rafard, 8612,,8612,8698.12,8784.98,8871.84,8959.71,9048.59,9138.48,9229.38,9321.29,9414.21,9508.14
Rancharia, 28804,,28804,29092.04,29382.92,29675.82,29971.75,30270.71,30572.7,30877.72,31185.77,31496.85,31810.96
Redenção da Serra, 3873,,3873,3911.73,3950.11,3989.5,4028.89,4068.28,4108.68,4149.08,4190.49,4231.9,4273.31
Regente Feijó, 18494,,18494,18678.94,18864.78,19052.64,19242.52,19434.42,19628.34,19824.28,20022.24,20222.22,20424.22
Reginópolis, 7323,,7323,7396.23,7469.96,7543.69,7618.43,7694.18,7770.94,7847.7,7925.47,8004.25,8084.04
Registro, 54261,,54261,54803.61,55351.03,55904.51,56463.04,57027.63,57597.27,58172.97,58753.72,59340.53,59933.4
Restinga, 6587,,6587,6652.87,6718.52,6785.18,6852.85,6920.52,6989.2,7058.89,7128.58,7199.28,7270.99
Ribeira, 3358,,3358,3391.58,3424.91,3458.24,3492.58,3526.92,3561.26,3596.61,3631.96,3667.31,3703.67
Ribeirão Bonito, 12135,,12135,12256.35,12378.56,12501.78,12626.01,12752.26,12879.52,13007.79,13137.07,13268.37,13400.68
Ribeirão Branco, 18269,,18269,18451.69,18635.51,18821.35,19009.21,19199.09,19390.99,19583.9,19778.83,19975.78,20174.75
Ribeirão Corrente, 4273,,4273,4315.73,4358.15,4401.58,4445.01,4489.45,4533.89,4578.33,4623.78,4669.23,4715.69
Ribeirão do Sul, 4446,,4446,4490.46,4534.9,4579.34,4624.79,4670.24,4716.7,4763.16,4810.63,4858.1,4906.58
Ribeirão Grande, 7422,,7422,7496.22,7570.96,7645.7,7721.45,7798.21,7875.98,7953.75,8032.53,8112.32,8193.12
Ribeirão Pires, 113068,,113068,114198.68,115339.98,116492.39,117656.92,118832.56,120020.32,121220.2,122432.2,123656.32,124892.56
Ribeirão Preto, 604682,,604682,610728.82,616835.28,623003.35,629233.03,635525.33,641880.25,648298.8,654780.98,661327.8,667940.27
Riversul, 6163,,6163,6224.63,6286.24,6348.86,6411.48,6475.11,6539.75,6604.39,6670.04,6736.7,6803.36
Rifaina, 3436,,3436,3470.36,3504.7,3539.04,3574.39,3609.74,3645.09,3681.45,3717.81,3754.17,3791.54
Rincão, 10414,,10414,10518.14,10623.18,10729.23,10836.29,10944.36,11053.44,11163.53,11274.63,11386.74,11499.86
Rinópolis, 9935,,9935,10034.35,10134.34,10235.34,10337.35,10440.37,10544.4,10649.44,10755.49,10862.55,10970.62
Rio Claro, 186253,,186253,188115.53,189996.15,191895.96,193813.95,195751.13,197708.51,199685.08,201681.85,203697.81,205733.97
Rio das Pedras, 29501,,29501,29796.01,30093.96,30393.93,30696.93,31002.96,31312.02,31625.12,31941.25,32260.41,32582.6
Rio Grande da Serra, 43974,,43974,44413.74,44857.13,45305.57,45758.05,46215.58,46677.15,47143.77,47614.43,48090.14,48570.9
Riolândia, 10575,,10575,10680.75,10786.8,10893.86,11001.93,11111.01,11222.11,11334.22,11447.34,11561.47,11676.61
Roseira, 9599,,9599,9694.99,9790.94,9887.9,9985.87,10084.85,10184.84,10285.84,10387.85,10490.87,10594.9
Rubiácea, 2729,,2729,2756.29,2783.56,2810.83,2838.1,2866.38,2894.66,2922.94,2951.22,2980.51,3009.8
Rubinéia, 2862,,2862,2890.62,2918.9,2947.18,2976.47,3005.76,3035.05,3065.35,3095.65,3125.95,3156.25
Sabino, 5217,,5217,5269.17,5321.69,5374.21,5427.74,5481.27,5535.81,5590.35,5645.9,5701.45,5758.01
Sagres, 2395,,2395,2418.95,2442.18,2466.42,2490.66,2514.9,2539.14,2564.39,2589.64,2614.89,2640.14
Sales, 5451,,5451,5505.51,5560.05,5615.6,5671.15,5727.71,5784.27,5841.84,5899.41,5957.99,6016.57
Sales Oliveira, 10568,,10568,10673.68,10779.73,10886.79,10994.86,11103.94,11214.03,11326.14,11439.26,11553.39,11668.53
Salesópolis, 15635,,15635,15791.35,15948.91,16107.48,16268.07,16430.68,16594.3,16759.94,16926.59,17095.26,17265.95
Salmourão, 4818,,4818,4866.18,4914.66,4963.14,5012.63,5062.12,5112.62,5163.12,5214.63,5266.14,5318.66
Saltinho, 7059,,7059,7129.59,7200.29,7272.0,7344.72,7417.44,7491.17,7565.91,7640.65,7716.4,7793.16
Salto, 105516,,105516,106571.16,107636.71,108712.36,109799.12,110896.99,112004.96,113124.04,114255.24,115397.55,116550.97
Salto de Pirapora, 40132,,40132,40533.32,40938.33,41347.38,41760.47,42177.6,42598.77,43023.98,43453.23,43887.53,44325.87
Salto Grande, 8787,,8787,8874.87,8962.74,9051.62,9141.51,9232.41,9324.32,9417.24,9511.17,9606.11,9702.06
Santa Adélia, 14333,,14333,14476.33,14620.76,14766.2,14913.66,15062.13,15212.62,15364.12,15517.64,15672.17,15828.72
Santa Albertina, 5723,,5723,5780.23,5837.8,5895.37,5953.95,6012.53,6072.12,6132.72,6193.32,6254.93,6316.54
Santa Bárbara d'Oeste, 180009,,180009,181809.09,183627.09,185463.27,187317.63,189190.17,191081.9,192991.81,194920.91,196869.2,198837.69
Santa Branca, 13763,,13763,13900.63,14039.0,14179.39,14320.79,14463.2,14607.63,14753.07,14900.53,15049.0,15199.49
Santa Clara d'Oeste, 2084,,2084,2104.84,2125.04,2146.25,2167.46,2188.67,2209.88,2231.09,2253.31,2275.53,2297.75
Santa Cruz da Conceição, 4002,,4002,4042.02,4082.42,4122.82,4163.22,4204.63,4246.04,4288.46,4330.88,4373.3,4416.73
Santa Cruz da Esperança, 1953,,1953,1972.53,1991.72,2010.91,2030.1,2050.3,2070.5,2090.7,2110.9,2131.1,2152.31
Santa Cruz das Palmeiras, 29932,,29932,30231.32,30533.31,30838.33,31146.38,31457.46,31771.57,32088.71,32408.88,32732.08,33059.32
Santa Cruz do Rio Pardo, 43921,,43921,44360.21,44803.6,45251.03,45703.51,46160.03,46621.6,47087.21,47557.87,48032.57,48512.32
Santa Ernestina, 5568,,5568,5623.68,5679.23,5735.79,5792.35,5849.92,5907.49,5966.07,6025.66,6085.25,6145.85
Santa Fé do Sul, 29239,,29239,29531.39,29826.31,30124.26,30425.24,30729.25,31036.29,31346.36,31659.46,31975.59,32294.75
Santa Gertrudes, 21634,,21634,21850.34,22068.5,22288.68,22510.88,22735.1,22962.35,23191.62,23422.91,23656.22,23892.56
Santa Isabel, 50453,,50453,50957.53,51466.57,51980.66,52499.8,53023.99,53553.23,54088.53,54628.88,55174.28,55725.74
Santa Lúcia, 8248,,8248,8330.48,8413.3,8497.13,8581.97,8666.81,8752.66,8839.52,8927.39,9016.27,9106.16
Santa Maria da Serra, 5413,,5413,5467.13,5521.67,5576.21,5631.76,5687.31,5743.87,5800.43,5858.0,5916.58,5975.16
Santana da Ponte Pensa, 1641,,1641,1657.41,1673.57,1689.73,1705.89,1722.05,1739.22,1756.39,1773.56,1790.73,1807.9
Santana de Parnaíba, 108813,,108813,109901.13,111000.01,112110.0,113231.1,114363.31,115506.63,116661.06,117827.61,119005.27,120195.05
Santa Rita d'Oeste, 2543,,2543,2568.43,2593.68,2618.93,2644.18,2670.44,2696.7,2722.96,2749.22,2776.49,2803.76
Santa Rita do Passa Quatro, 26478,,26478,26742.78,27009.42,27279.09,27551.79,27826.51,28104.26,28385.04,28668.85,28954.68,29243.54
Santa Rosa de Viterbo, 23862,,23862,24100.62,24341.0,24584.41,24829.84,25077.29,25327.77,25580.27,25835.8,26093.35,26353.93
Santa Salete, 1447,,1447,1461.47,1475.61,1489.75,1503.89,1518.03,1533.18,1548.33,1563.48,1578.63,1593.78
Santo André, 676407,,676407,683171.07,690002.71,696902.02,703871.02,710909.71,718018.09,725198.18,732449.98,739773.49,747170.73
Santo Antônio da Alegria, 6304,,6304,6367.04,6430.67,6494.3,6558.94,6623.58,6689.23,6755.89,6822.55,6890.22,6958.9
Santo Antônio de Posse, 20650,,20650,20856.5,21064.56,21274.64,21486.74,21700.86,21917.0,22136.17,22357.36,22580.57,22805.8
Santo Antônio do Aracanguá, 7626,,7626,7702.26,7779.02,7856.79,7934.56,8013.34,8093.13,8173.93,8254.73,8336.54,8419.36
Santo Antônio do Jardim, 5943,,5943,6002.43,6062.02,6122.62,6183.22,6244.83,6306.44,6369.06,6432.69,6496.32,6560.96
Santo Antônio do Pinhal, 6486,,6486,6550.86,6615.5,6681.15,6747.81,6814.47,6882.14,6950.82,7019.5,7089.19,7159.89
Santópolis do Aguapeí, 4277,,4277,4319.77,4362.19,4405.62,4449.05,4493.49,4537.93,4582.37,4627.82,4673.27,4719.73
Santos, 419400,,419400,423594.0,427829.94,432107.29,436428.07,440792.28,445199.92,449650.99,454146.5,458687.46,463273.87
São Bento do Sapucaí, 10468,,10468,10572.68,10677.72,10783.77,10890.83,10998.9,11107.98,11218.07,11330.18,11443.3,11557.43
São Bernardo do Campo, 765463,,765463,773117.63,780848.17,788656.48,796542.56,804507.42,812552.07,820677.52,828883.77,837171.83,845542.71
São Caetano do Sul, 149263,,149263,150755.63,152262.55,153784.62,155321.84,156874.21,158442.74,160026.42,161626.26,163242.26,164874.42
São Carlos, 221950,,221950,224169.5,226410.69,228674.1,230960.74,233269.6,235601.69,237957.01,240336.57,242739.36,245166.39
São Francisco, 2793,,2793,2820.93,2848.2,2876.48,2904.76,2933.04,2962.33,2991.62,3020.91,3050.2,3080.5
São João da Boa Vista, 83639,,83639,84475.39,85319.75,86172.19,87033.72,87903.33,88782.03,89669.82,90565.69,91470.65,92384.7
São João das Duas Pontes, 2566,,2566,2591.66,2616.91,2642.16,2668.42,2694.68,2720.94,2747.2,2774.47,2801.74,2829.01
São João de Iracema, 1780,,1780,1797.8,1814.97,1832.14,1850.32,1868.5,1886.68,1904.86,1923.04,1942.23,1961.42
São Joaquim da Barra, 46512,,46512,46977.12,47446.77,47920.46,48399.2,48882.99,49370.82,49863.7,50361.63,50864.61,51372.64
São José da Bela Vista, 8406,,8406,8490.06,8574.9,8659.74,8745.59,8832.45,8920.32,9009.2,9099.09,9189.99,9280.89
São José do Barreiro, 4077,,4077,4117.77,4158.17,4199.58,4240.99,4282.4,4324.82,4367.24,4410.67,4454.1,4498.54
São José do Rio Pardo, 51900,,51900,52419.0,52943.19,53472.43,54006.72,54546.06,55091.46,55641.91,56197.41,56758.97,57325.58
São José do Rio Preto, 408258,,408258,412340.58,416463.4,420627.63,424833.27,429081.33,433371.81,437704.71,442081.04,446501.81,450966.01
São José dos Campos, 629921,,629921,636220.21,642582.2,649007.82,655497.07,662051.97,668671.51,675357.71,682110.57,688931.1,695820.31
São Lourenço da Serra, 13973,,13973,14112.73,14253.12,14395.53,14538.95,14683.38,14829.83,14977.29,15126.77,15277.26,15429.77
São Luiz do Paraitinga, 10397,,10397,10500.97,10605.0,10711.05,10818.11,10926.18,11035.26,11145.35,11256.45,11368.56,11481.68
São Manuel, 38342,,38342,38725.42,39112.25,39503.12,39898.03,40296.98,40698.96,41104.98,41515.04,41930.15,42349.3
São Miguel Arcanjo, 31450,,31450,31764.5,32081.64,32401.81,32725.01,33052.25,33382.52,33715.82,34052.15,34392.52,34735.92
São Paulo, 11253503,,11253503,11366038.03,11479698.38,11594494.98,11710438.94,11827542.38,11945817.42,12065275.17,12185927.75,12307786.27,12430863.86
São Pedro, 31662,,31662,31978.62,32297.78,32619.97,32945.19,33274.45,33606.74,33942.06,34281.42,34623.81,34969.23
São Pedro do Turvo, 7198,,7198,7269.98,7341.69,7414.41,7488.14,7562.88,7637.62,7713.37,7790.13,7867.9,7945.67
São Roque, 78821,,78821,79609.21,80405.09,81209.05,82021.09,82841.21,83669.41,84505.69,85350.05,86203.5,87065.03
São Sebastião, 73942,,73942,74681.42,75427.81,76181.27,76942.81,77711.42,78488.11,79272.88,80064.72,80864.64,81672.64
São Sebastião da Grama, 12099,,12099,12219.99,12341.19,12464.41,12588.64,12713.88,12840.13,12968.4,13097.68,13227.97,13359.27
São Simão, 14346,,14346,14489.46,14633.89,14779.33,14926.79,15075.26,15225.75,15377.25,15530.77,15685.3,15841.85
São Vicente, 332445,,332445,335769.45,339126.69,342517.26,345942.17,349401.42,352895.01,356423.95,359987.23,363586.87,367221.86
Sarapuí, 9027,,9027,9117.27,9208.17,9300.08,9393.0,9486.93,9580.86,9675.8,9771.75,9868.71,9966.68
Sarutaiá, 3622,,3622,3658.22,3694.58,3730.94,3767.3,3804.67,3842.04,3880.42,3918.8,3957.18,3996.57
Sebastianópolis do Sul, 3031,,3031,3061.31,3091.61,3121.91,3152.21,3183.52,3214.83,3246.14,3278.46,3310.78,3343.1
Serra Azul, 11256,,11256,11368.56,11481.68,11595.81,11710.95,11827.1,11945.27,12064.45,12184.64,12305.84,12428.05
Serrana, 38878,,38878,39266.78,39658.66,40054.58,40454.54,40858.54,41266.58,41678.66,42094.78,42514.94,42939.14
Serra Negra, 26387,,26387,26650.87,26916.5,27185.16,27456.85,27730.56,28007.3,28287.07,28569.87,28854.69,29142.54
Sertãozinho, 110074,,110074,111174.74,112285.74,113407.85,114541.07,115686.41,116842.86,118010.42,119190.1,120381.9,121584.81
Sete Barras, 13005,,13005,13135.05,13266.35,13398.66,13531.98,13666.31,13802.66,13940.02,14079.4,14219.79,14361.19
Severínia, 15501,,15501,15656.01,15812.56,15970.12,16129.7,16290.29,16452.9,16616.52,16782.16,16949.82,17118.49
Silveiras, 5792,,5792,5849.92,5907.49,5966.07,6025.66,6085.25,6145.85,6206.45,6268.06,6330.68,6393.3
Socorro, 36686,,36686,37052.86,37422.52,37796.22,38173.96,38554.73,38939.54,39328.39,39721.28,40118.21,40519.18
Sorocaba, 586625,,586625,592491.25,598415.91,604399.15,610442.99,616546.42,622711.46,628938.11,635227.38,641579.27,647994.79
Sud Mennucci, 7435,,7435,7509.35,7584.09,7659.84,7735.59,7812.35,7890.12,7968.9,8047.68,8127.47,8208.27
Sumaré, 241311,,241311,243724.11,246161.24,248622.61,251108.22,253619.08,256155.19,258716.55,261303.16,263916.03,266555.16
Suzano, 262480,,262480,265104.8,267755.04,270432.55,273136.32,275867.36,278625.67,281411.25,284225.11,287067.25,289937.67
Suzanápolis, 3383,,3383,3416.83,3450.16,3484.5,3518.84,3553.18,3588.53,3623.88,3659.23,3695.59,3731.95
Tabapuã, 11363,,11363,11476.63,11590.76,11705.9,11822.05,11940.22,12059.4,12179.59,12300.79,12423.0,12547.23
Tabatinga, 14686,,14686,14832.86,14980.32,15129.8,15280.29,15432.8,15586.32,15741.86,15898.41,16056.98,16216.56
Taboão da Serra, 244528,,244528,246973.28,249442.73,251936.42,254455.36,256999.55,259568.99,262163.68,264784.63,267431.84,270105.31
Taguaí, 10828,,10828,10936.28,11045.36,11155.45,11266.55,11378.66,11491.78,11605.91,11721.05,11838.21,11956.38
Taiaçu, 5894,,5894,5952.94,6011.52,6071.11,6131.71,6192.31,6253.92,6315.53,6378.15,6441.78,6505.41
Taiúva, 5447,,5447,5501.47,5556.01,5611.56,5667.11,5723.67,5780.23,5837.8,5895.37,5953.95,6012.53
Tambaú, 22406,,22406,22630.06,22856.3,23084.56,23314.84,23547.14,23782.47,24019.82,24259.19,24501.59,24746.01
Tanabi, 24055,,24055,24295.55,24537.95,24782.37,25029.82,25279.29,25531.79,25786.31,26043.86,26303.43,26566.03
Tapiraí, 8012,,8012,8092.12,8172.92,8253.72,8335.53,8418.35,8502.18,8587.02,8672.87,8758.72,8845.58
Tapiratiba, 12737,,12737,12864.37,12992.64,13121.92,13252.21,13384.52,13517.84,13652.17,13788.52,13925.88,14064.25
Taquaral, 2726,,2726,2753.26,2780.53,2807.8,2835.07,2863.35,2891.63,2919.91,2948.19,2977.48,3006.77
Taquaritinga, 53988,,53988,54527.88,55072.27,55622.72,56178.22,56739.78,57306.39,57879.06,58457.79,59041.57,59631.41
Taquarituba, 22291,,22291,22513.91,22738.13,22965.38,23194.65,23425.94,23659.25,23895.59,24133.95,24374.33,24617.74
Taquarivaí, 5151,,5151,5202.51,5254.02,5306.54,5359.06,5412.59,5466.12,5520.66,5575.2,5630.75,5686.3
Tarumã, 12885,,12885,13013.85,13143.13,13274.43,13406.74,13540.06,13675.4,13811.75,13949.11,14088.49,14228.88
Tatuí, 107326,,107326,108399.26,109482.99,110576.82,111681.76,112797.81,113924.97,115063.24,116213.63,117375.13,118548.75
Taubaté, 278686,,278686,281472.86,284286.72,287128.86,289999.28,292898.99,295826.98,298784.26,301771.84,304788.71,307835.88
Tejupá, 4809,,4809,4857.09,4905.57,4954.05,5003.54,5053.03,5103.53,5154.03,5205.54,5257.05,5309.57
Terra Roxa, 8505,,8505,8590.05,8675.9,8761.75,8848.61,8936.48,9025.36,9115.25,9206.15,9298.06,9390.98
Tietê, 36835,,36835,37203.35,37575.03,37950.75,38329.5,38712.29,39099.12,39489.99,39883.89,40281.83,40683.81
Timburi, 2646,,2646,2672.46,2698.72,2724.98,2751.24,2778.51,2805.78,2833.05,2861.33,2889.61,2917.89
Torre de Pedra, 2254,,2254,2276.54,2298.76,2320.98,2343.2,2366.43,2389.66,2412.89,2436.12,2460.36,2484.6
Torrinha, 9330,,9330,9423.3,9517.23,9612.17,9708.12,9805.08,9903.05,10002.03,10102.02,10203.02,10305.03
Trabiju, 1544,,1544,1559.44,1574.59,1589.74,1604.89,1620.04,1636.2,1652.36,1668.52,1684.68,1700.84
Tremembé, 40984,,40984,41393.84,41806.93,42224.06,42646.24,43072.46,43502.72,43937.02,44376.37,44819.76,45267.19
Três Fronteiras, 5427,,5427,5481.27,5535.81,5590.35,5645.9,5701.45,5758.01,5815.58,5873.15,5931.73,5990.31
Tuiuti, 5930,,5930,5989.3,6048.89,6108.48,6169.08,6230.69,6292.3,6354.92,6417.54,6481.17,6545.81
Tupã, 63476,,63476,64110.76,64751.1,65398.51,66051.98,66711.51,67378.11,68051.78,68731.51,69418.31,70112.18
Turiúba, 1930,,1930,1949.3,1968.49,1987.68,2006.87,2026.06,2046.26,2066.46,2086.66,2106.86,2127.06
Turmalina, 1978,,1978,1997.78,2016.97,2036.16,2056.36,2076.56,2096.76,2116.96,2137.16,2158.37,2179.58
Ubarana, 5289,,5289,5341.89,5394.41,5447.94,5501.47,5556.01,5611.56,5667.11,5723.67,5780.23,5837.8
Ubatuba, 78801,,78801,79589.01,80384.89,81187.84,81998.87,82817.98,83645.17,84481.45,85325.81,86178.25,87039.78
Ubirajara, 4427,,4427,4471.27,4515.71,4560.15,4605.6,4651.05,4697.51,4743.97,4790.43,4837.9,4885.37
Uchoa, 9471,,9471,9565.71,9660.65,9756.6,9853.56,9951.53,10050.51,10150.5,10251.5,10353.51,10456.53
União Paulista, 1599,,1599,1614.99,1630.14,1646.3,1662.46,1678.62,1694.78,1710.94,1727.1,1744.27,1761.44
Urânia, 8836,,8836,8924.36,9013.24,9103.13,9194.03,9285.94,9377.85,9470.77,9564.7,9659.64,9755.59
Uru, 1251,,1251,1263.51,1275.63,1287.75,1299.87,1311.99,1324.11,1337.24,1350.37,1363.5,1376.63
Urupês, 12714,,12714,12841.14,12969.41,13098.69,13228.98,13360.28,13493.6,13627.93,13763.27,13900.63,14039.0
Valentim Gentil, 11036,,11036,11146.36,11257.46,11369.57,11482.69,11596.82,11711.96,11828.11,11946.28,12065.46,12185.65
Valinhos, 106793,,106793,107860.93,108938.6,110027.38,111127.27,112238.27,113360.38,114493.6,115637.93,116793.37,117960.93
Valparaíso, 22576,,22576,22801.76,23029.01,23259.29,23491.59,23725.91,23962.25,24201.62,24443.01,24687.43,24933.87
Vargem, 8801,,8801,8889.01,8977.89,9066.77,9156.66,9247.56,9339.47,9432.39,9526.32,9621.26,9717.21
Vargem Grande do Sul, 39266,,39266,39658.66,40054.58,40454.54,40858.54,41266.58,41678.66,42094.78,42514.94,42939.14,43368.39
Vargem Grande Paulista, 42997,,42997,43426.97,43860.26,44298.6,44740.98,45187.4,45638.87,46094.38,46554.94,47019.54,47489.19
Várzea Paulista, 107089,,107089,108159.89,109240.59,110332.4,111435.32,112549.35,113674.49,114810.74,115958.1,117117.58,118288.17
Vera Cruz, 10769,,10769,10876.69,10984.76,11093.84,11203.93,11315.03,11428.15,11542.28,11657.42,11773.57,11890.73
Vinhedo, 63611,,63611,64247.11,64889.47,65537.89,66192.37,66853.92,67521.53,68196.21,68877.96,69565.77,70260.65
Viradouro, 17297,,17297,17469.97,17643.69,17819.43,17997.19,18176.97,18357.76,18540.57,18725.4,18912.25,19101.12
Vista Alegre do Alto, 6886,,6886,6954.86,7023.54,7093.23,7163.93,7234.63,7306.34,7379.06,7452.79,7526.52,7601.26
Vitória Brasil, 1737,,1737,1754.37,1771.54,1788.71,1805.88,1823.05,1841.23,1859.41,1877.59,1895.77,1913.95
Votorantim, 108809,,108809,109897.09,110995.97,112104.95,113225.04,114357.25,115500.57,116655.0,117821.55,118999.21,120188.99
Votuporanga, 84692,,84692,85538.92,86393.38,87256.93,88128.56,89009.28,89899.09,90797.99,91704.97,92621.04,93547.21
Zacarias, 2335,,2335,2358.35,2381.58,2404.81,2428.04,2452.28,2476.52,2500.76,2525.0,2550.25,2575.5
Chavantes, 12114,,12114,12235.14,12357.35,12480.57,12604.8,12730.04,12857.3,12985.57,13114.85,13245.14,13377.45
