Local,População no último censo,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bauru, 343937,,343937,347376.37,350849.76,354357.49,357900.57,361479.0,365093.79,368743.93,372430.43,376154.3,379915.54
Bebedouro, 75035,,75035,75785.35,76542.85,77307.42,78080.07,78860.8,79648.6,80444.48,81248.44,82060.48,82880.6
Bento de Abreu, 2674,,2674,2700.74,2727.0,2754.27,2781.54,2808.81,2836.08,2864.36,2892.64,2920.92,2949.2
Bernardino de Campos, 10775,,10775,10882.75,10990.82,11099.9,11209.99,11321.09,11434.21,11548.34,11663.48,11779.63,11896.79
Bertioga, 47645,,47645,48121.45,48602.21,49088.02,49578.88,50073.78,50573.73,51078.73,51588.78,52103.88,52624.03
Bilac, 7048,,7048,7118.48,7189.18,7260.89,7332.6,7405.32,7479.05,7553.79,7628.53,7704.28,7781.04
Birigui, 108728,,108728,109815.28,110913.15,112022.13,113142.22,114273.42,115415.73,116569.15,117734.69,118911.34,120100.11
Biritiba Mirim, 28575,,28575,28860.75,29148.6,29439.48,29733.39,30030.33,30330.3,30633.3,30939.33,31248.39,31560.48
Boa Esperança do Sul, 13645,,13645,13781.45,13918.81,14057.18,14197.57,14338.97,14481.38,14625.81,14771.25,14918.71,15067.18
Bocaina, 10859,,10859,10967.59,11076.67,11186.76,11297.86,11409.97,11523.09,11638.23,11754.38,11871.54,11989.71
Bofete, 9618,,9618,9714.18,9811.14,9909.11,10008.09,10108.08,10209.08,10311.09,10414.11,10518.14,10623.18
Boituva, 48314,,48314,48797.14,49284.97,49776.84,50273.76,50775.73,51282.75,51794.82,52311.94,52834.11,53362.34
Bom Jesus dos Perdões, 19708,,19708,19905.08,20104.05,20305.04,20508.05,20713.08,20920.13,21129.2,21340.29,21553.4,21768.53
Bom Sucesso de Itararé, 3571,,3571,3606.71,3642.06,3678.42,3714.78,3751.14,3788.51,3825.88,3863.25,3901.63,3940.01
Borá, 805,,805,813.05,821.13,829.21,837.29,845.37,853.45,861.53,869.61,877.69,885.77
Boracéia, 4268,,4268,4310.68,4353.1,4396.53,4439.96,4483.39,4527.83,4572.27,4617.72,4663.17,4709.63
Borborema, 14529,,14529,14674.29,14820.74,14968.2,15117.68,15268.17,15420.68,15574.2,15729.74,15886.29,16044.86
Borebi, 2293,,2293,2315.93,2338.15,2361.38,2384.61,2407.84,2431.07,2455.31,2479.55,2503.79,2528.03
Botucatu, 127328,,127328,128601.28,129887.01,131185.87,132496.85,133820.96,135158.2,136509.58,137874.09,139252.74,140644.52
Bragança Paulista, 146744,,146744,148211.44,149693.11,151189.93,152700.89,154227.0,155769.27,157326.69,158899.26,160487.99,162091.87
Braúna, 5021,,5021,5071.21,5121.71,5172.21,5223.72,5275.23,5327.75,5380.27,5433.8,5487.33,5541.87
Brejo Alegre, 2573,,2573,2598.73,2623.98,2649.23,2675.49,2701.75,2728.01,2755.28,2782.55,2809.82,2837.09
Brodowski, 21107,,21107,21318.07,21531.18,21746.31,21963.46,22182.63,22403.82,22627.03,22853.27,23081.53,23311.81
Brotas, 21580,,21580,21795.8,22012.95,22232.12,22454.32,22678.54,22904.78,23133.04,23364.33,23597.64,23832.97
Buri, 18563,,18563,18748.63,18935.48,19124.35,19315.24,19508.15,19703.08,19900.03,20099.0,20299.99,20501.99
Buritama, 15418,,15418,15572.18,15727.72,15884.27,16042.84,16202.42,16364.02,16527.64,16692.27,16858.92,17026.58
Buritizal, 4053,,4053,4093.53,4133.93,4174.33,4215.74,4257.15,4299.57,4341.99,4384.41,4427.84,4471.27
Cabrália Paulista, 4365,,4365,4408.65,4452.08,4496.52,4540.96,4585.4,4630.85,4676.3,4722.76,4769.22,4816.69
Cabreúva, 41604,,41604,42020.04,42440.2,42864.4,43292.64,43724.92,44161.24,44602.61,45048.02,45498.48,45952.98
Caçapava, 84752,,84752,85599.52,86454.99,87318.54,88191.18,89072.91,89962.72,90861.62,91769.61,92686.69,93612.86
Cachoeira Paulista, 30091,,30091,30391.91,30694.91,31000.94,31310.0,31623.1,31939.23,32258.39,32580.58,32905.8,33234.05
Caconde, 18538,,18538,18723.38,18910.23,19099.1,19289.99,19481.89,19675.81,19871.75,20069.71,20269.69,20471.69
Cafelândia, 16607,,16607,16773.07,16940.73,17109.4,17280.09,17452.8,17626.52,17802.26,17980.02,18159.8,18340.59
Caiabu, 4072,,4072,4112.72,4153.12,4194.53,4235.94,4277.35,4319.77,4362.19,4405.62,4449.05,4493.49
Caieiras, 86529,,86529,87394.29,88267.94,89149.67,90040.49,90940.4,91849.4,92767.49,93694.67,94630.94,95576.3
Cajamar, 64114,,64114,64755.14,65402.55,66056.02,66716.56,67383.16,68056.83,68736.56,69423.36,70117.23,70818.17
Cajati, 28372,,28372,28655.72,28941.55,29230.41,29522.3,29817.22,30115.17,30416.15,30720.16,31027.2,31337.27
Cajobi, 9768,,9768,9865.68,9963.65,10062.63,10162.62,10263.62,10365.63,10468.65,10572.68,10677.72,10783.77
Cajuru, 23371,,23371,23604.71,23840.04,24078.4,24318.78,24561.18,24806.61,25054.06,25304.54,25557.04,25812.57
Campina do Monte Alegre, 5567,,5567,5622.67,5678.22,5734.78,5791.34,5848.91,5906.48,5965.06,6024.65,6084.24,6144.84
Campinas, 1080113,,1080113,1090914.13,1101823.14,1112841.23,1123969.41,1135208.69,1146560.08,1158025.6,1169605.25,1181301.05,1193114.01
